Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;318,752;0;265,4974;0;318,752;0
1;187,7577;0;167,6145;0;187,7577;0
2;213,3896;0;202,0851;0;213,3896;0
3;640,0048;0;615,39;0;640,0048;0
4;222,6854;0;210,1447;0;222,6854;0
5;267,9895;0;260,3064;0;267,9895;0
6;232,9212;0;223,2819;0;232,9212;0
7;3338,581;0;3288,369;0;3338,581;0
8;3855,304;0;3335,768;0;3855,304;0
9;233,4658;0;212,412;0;233,4658;0
10;218,2185;0;197,9454;0;218,2185;0
11;240,8507;0;215,8259;0;240,8507;0
12;449,4453;0;258,1152;0;449,4453;0
13;3409,927;0;2983,148;0;3409,927;0
14;259,6647;0;218,2485;0;259,6647;0
15;382,8609;0;269,0414;0;382,8609;0
16;228,2261;0;209,907;0;228,2261;0
17;288,7897;0;182,662;0;288,7897;0
18;685,6794;0;309,8241;0;685,6794;0
19;1243,073;0;353,0509;0;1243,073;0
20;3864,104;0;1326,978;0;3864,104;0
21;3382,374;0;1157,297;0;3382,374;0
22;3339,296;0;363,3037;0;3339,296;0
23;347,1271;0;281,0498;0;347,1271;0
24;294,1107;0;249,8889;0;294,1107;0
25;3388,177;0;434,2449;0;3388,177;0
26;687,6769;0;365,0774;0;687,6769;0
27;258,5388;0;222,8025;0;258,5388;0
28;278,4357;0;243,7472;0;278,4357;0
29;271,9716;0;242,5587;0;271,9716;0
30;312,8521;0;252,2582;0;312,8521;0
31;3367,077;0;566,397;0;3367,077;0
32;3876,92;0;2377,113;0;3876,92;0
33;3384,657;0;1871,686;0;3384,657;0
34;3877,01;0;967,3;0;3877,01;0
35;3352,369;0;559,9395;0;3352,369;0
36;3376,382;0;1140,36;0;3376,382;0
37;3895,922;0;752,3974;0;3895,922;0
38;657,8826;0;231,4429;0;657,8826;0
39;3391,42;0;1212,267;0;3391,42;0
40;3354,85;0;469,7753;0;3354,85;0
41;3349,344;0;465,0182;0;3349,344;0
42;689,52;0;263,9496;0;689,52;0
43;719,5582;0;396,129;0;719,5582;0
44;1200,606;0;578,824;0;1200,606;0
45;1179,174;0;581,9423;0;1179,174;0
46;1198,595;0;608,3223;0;1198,595;0
47;3925,654;0;439,4739;0;3925,654;0
48;1207,289;0;656,5408;0;1207,289;0
49;3939,142;0;416,2165;0;3939,142;0
50;3406,143;0;1068,642;0;3406,143;0
51;3407,201;0;883,3022;0;3407,201;0
52;3413,01;0;483,2235;0;3413,01;0
53;1205,688;0;674,0115;0;1205,688;0
54;1189,199;0;637,7339;0;1189,199;0
55;3936,782;0;817,8581;0;3936,782;0
56;1299,35;0;247,8171;0;1299,35;0
57;1191,265;0;490,3646;0;1191,265;0
58;1306,53;0;106,3567;0;1306,53;0
59;1209,191;0;601,54;0;1209,191;0
60;1213,878;0;702,6789;0;1213,878;0
61;3888,446;0;753,6951;0;3888,446;0
62;3361,364;0;808,3304;0;3361,364;0
63;3932,347;0;1088,979;0;3932,347;0
64;3395,801;0;516,2107;0;3395,801;0
65;1229,883;0;679,4037;0;1229,883;0
66;3936,048;0;689,4027;0;3936,048;0
67;3903,534;0;3246,319;0;3903,534;0
68;3405,755;0;701,2125;0;3405,755;0
69;1213,045;0;847,0575;0;1213,045;0
70;3919,88;0;2271,541;0;3919,88;0
71;3909,896;0;974,6063;0;3909,896;0
72;3921,41;0;2502,536;0;3921,41;0
73;3396,561;0;484,0671;0;3396,561;0
74;1221,995;0;969,4938;0;1221,995;0
75;3904,95;0;-24,47565;0;3904,95;0
76;1258,222;0;785,0724;0;1258,222;0
77;1221,529;0;902,4142;0;1221,529;0
78;1194,882;0;851,1661;0;1194,882;0
79;1218,629;0;879,389;0;1218,629;0
80;1330,65;0;652,3768;0;1330,65;0
81;3967,407;0;2148,875;0;3967,407;0
82;1216,685;0;956,6772;0;1216,685;0
83;3914,993;0;2036,865;0;3914,993;0
84;3390,04;0;781,2427;0;3390,04;0
85;3932,751;0;769,3219;0;3932,751;0
86;1230,956;0;850,1708;0;1230,956;0
87;3934,207;0;1520,714;0;3934,207;0
88;1197,474;0;926,8622;0;1197,474;0
89;1229,521;0;358,2709;0;1229,521;0
90;3396,983;0;862,3116;0;3396,983;0
91;3913,08;0;809,5119;0;3913,08;0
92;1231,152;0;839,7727;0;1231,152;0
93;3416,803;0;-60,10389;0;3416,803;0
94;1245,182;0;800,5833;0;1245,182;0
95;3965,023;0;344,0165;0;3965,023;0
96;1240,347;0;786,6495;0;1240,347;0
97;3392,984;0;740,329;0;3392,984;0
98;1203,733;0;726,7452;0;1203,733;0
99;1215,855;0;655,845;0;1215,855;0
100;1297,889;0;484,5864;0;1297,889;0
101;3921,909;0;657,9689;0;3921,909;0
102;1205,257;0;773,9657;0;1205,257;0
103;3892,153;0;674,2115;0;3892,153;0
104;1195,339;0;652,0605;0;1195,339;0
105;3366,998;0;562,5306;0;3366,998;0
106;3900,72;0;725,8543;0;3900,72;0
107;3928,195;0;3210,73;0;3928,195;0
108;3926,435;0;38,7194;0;3926,435;0
109;1226,731;0;789,1607;0;1226,731;0
110;3915,67;0;1155,738;0;3915,67;0
111;3911,671;0;1005,644;0;3911,671;0
112;3403,442;0;861,7669;0;3403,442;0
113;1243,111;0;847,6334;0;1243,111;0
114;1327,058;0;863,7788;0;1327,058;0
115;1222,871;0;724,3472;0;1222,871;0
116;1214,145;0;735,0202;0;1214,145;0
117;1415,854;0;600,1321;0;1415,854;0
118;3906,114;0;1253,193;0;3906,114;0
119;1251,372;0;920,3171;0;1251,372;0
120;1216,237;0;856,5443;0;1216,237;0
121;1214,865;0;809,5535;0;1214,865;0
122;3900,554;0;939,8802;0;3900,554;0
123;3908,452;0;1691,829;0;3908,452;0
124;1212,28;0;969,8074;0;1212,28;0
125;3417,162;0;992,519;0;3417,162;0
126;1230,931;0;952,6356;0;1230,931;0
127;1276,352;0;766,2902;0;1276,352;0
128;3905,879;0;1094,713;0;3905,879;0
129;3378,486;0;489,8242;0;3378,486;0
130;3899,606;0;1039,426;0;3899,606;0
131;1231,904;0;956,9683;0;1231,904;0
132;1253,396;0;800,7832;0;1253,396;0
133;1233,803;0;844,127;0;1233,803;0
134;1245,341;0;940,7631;0;1245,341;0
135;3911,003;0;674,5776;0;3911,003;0
136;3922,307;0;1067,704;0;3922,307;0
137;3384,693;0;1007,738;0;3384,693;0
138;3400,244;0;805,2832;0;3400,244;0
139;1216,982;0;968,2599;0;1216,982;0
140;1224,103;0;853,3645;0;1224,103;0
141;1207,111;0;876,1259;0;1207,111;0
142;1243,897;0;865,7479;0;1243,897;0
143;1235,736;0;889,162;0;1235,736;0
144;1259,526;0;891,9279;0;1259,526;0
145;3918,121;0;1489,992;0;3918,121;0
146;3935,904;0;379,671;0;3935,904;0
147;1240,583;0;799,4773;0;1240,583;0
148;3917,472;0;1024,837;0;3917,472;0
149;1426,605;0;939,565;0;1426,605;0
150;3414,396;0;914,2814;0;3414,396;0
151;3390,038;0;972,7005;0;3390,038;0
152;1429,629;0;292,6732;0;1429,629;0
153;1278,697;0;771,5452;0;1278,697;0
154;3945,813;0;953,366;0;3945,813;0
155;3385,885;0;1055,037;0;3385,885;0
156;1283,137;0;831,4805;0;1283,137;0
157;1369,461;0;710,939;0;1369,461;0
158;1241,172;0;1043,984;0;1241,172;0
159;3918,78;0;928,9583;0;3918,78;0
160;1264,979;0;521,4055;0;1264,979;0
161;3892,917;0;1128,295;0;3892,917;0
162;1283,098;0;775,4899;0;1283,098;0
163;3919,981;0;1371,847;0;3919,981;0
164;1217,6;0;851,7537;0;1217,6;0
165;1236,802;0;964,9374;0;1236,802;0
166;5958,049;0;3200,785;0;5958,049;0
167;3908,657;0;932,9725;0;3908,657;0
168;1254,184;0;1059,126;0;1254,184;0
169;3948,863;0;1083,417;0;3948,863;0
170;1262,807;0;1035,375;0;1262,807;0
171;3940,803;0;-288,2435;0;3940,803;0
172;3926,184;0;1442,513;0;3926,184;0
173;5953,554;0;3123,622;0;5953,554;0
174;3409,61;0;870,6887;0;3409,61;0
175;3926,484;0;-306,5557;0;3926,484;0
176;1274,69;0;805,7214;0;1274,69;0
177;3938,256;0;934,5476;0;3938,256;0
178;1251,807;0;1113,026;0;1251,807;0
179;1287,456;0;727,8716;0;1287,456;0
180;1289,048;0;931,1289;0;1289,048;0
181;1319,585;0;919,045;0;1319,585;0
182;1233,412;0;950,9747;0;1233,412;0
183;3927,144;0;825,2798;0;3927,144;0
184;1292,635;0;756,481;0;1292,635;0
185;3965,206;0;1216,613;0;3965,206;0
186;3941,301;0;1287,312;0;3941,301;0
187;3991,412;0;777,6896;0;3991,412;0
188;1275,77;0;910,1236;0;1275,77;0
189;3914,883;0;1015,843;0;3914,883;0
190;6461,334;0;1091,48;0;6461,334;0
191;3941,671;0;1218,714;0;3941,671;0
192;3399,099;0;954,3978;0;3399,099;0
193;5936,48;0;1576,082;0;5936,48;0
194;3900,873;0;409,8977;0;3900,873;0
195;1255,829;0;809,8781;0;1255,829;0
196;1218,261;0;533,9091;0;1218,261;0
197;3416,394;0;616,17;0;3416,394;0
198;3921,408;0;1025,776;0;3921,408;0
199;1295,933;0;667,6405;0;1295,933;0
200;1295,933;0;667,6405;0;1295,933;0
