sep=;
Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;679,9331;0;159,0419;0;679,9331;0
1;3323,497;0;304,4931;0;3323,497;0
2;3322,537;0;320,8516;0;3323,497;0
3;3325,203;0;674,7188;0;3325,203;0
4;3335,831;0;1137,181;0;3335,831;0
5;3326,209;0;1228,9;0;3335,831;0
6;3326,209;0;1758,31;0;3335,831;0
7;3329,138;0;2264,79;0;3335,831;0
8;3335,809;0;2899,307;0;3335,831;0
9;3836,137;0;3144,71;0;3836,137;0
10;3850,588;0;2974,03;0;3850,588;0
11;3850,59;0;3197,664;0;3850,59;0
12;3852,411;0;3345,809;0;3852,411;0
13;3850,293;0;3314,531;0;3852,411;0
14;3883,92;0;3352,409;0;3883,92;0
15;3883,918;0;3134,676;0;3883,92;0
16;3886,308;0;3165,703;0;3886,308;0
17;3883,918;0;2955,068;0;3886,308;0
18;3883,918;0;2877,097;0;3886,308;0
19;3883,918;0;3160,943;0;3886,308;0
20;3886,308;0;2985,969;0;3886,308;0
21;3886,308;0;3160,627;0;3886,308;0
22;3883,918;0;2911,211;0;3886,308;0
23;3883,918;0;3193,487;0;3886,308;0
24;3886,907;0;2787,893;0;3886,907;0
25;3884,578;0;3279,669;0;3886,907;0
26;3884,578;0;3026,724;0;3886,907;0
27;3896,061;0;3177,058;0;3896,061;0
28;3901,291;0;3291,868;0;3901,291;0
29;3894,566;0;3052,321;0;3901,291;0
30;3894,566;0;2717,251;0;3901,291;0
31;3919,764;0;2849,628;0;3919,764;0
32;3942,268;0;3136,009;0;3942,268;0
33;3973,01;0;2804,495;0;3973,01;0
34;3972,997;0;2538,639;0;3973,01;0
35;3972,997;0;2985,991;0;3973,01;0
36;3972,601;0;2946,902;0;3973,01;0
37;3972,997;0;2860,392;0;3973,01;0
38;3973;0;2964,671;0;3973,01;0
39;3972,997;0;2893,98;0;3973,01;0
40;3972,601;0;2541,583;0;3973,01;0
41;3973,001;0;2841,292;0;3973,01;0
42;3972,999;0;2914,423;0;3973,01;0
43;3972,997;0;2719,148;0;3973,01;0
44;3972,601;0;3100,53;0;3973,01;0
45;3973,002;0;3029,844;0;3973,01;0
46;3972,997;0;2980,735;0;3973,01;0
47;3972,601;0;3043,895;0;3973,01;0
48;3972,601;0;3212,845;0;3973,01;0
49;3972,997;0;3301,485;0;3973,01;0
50;3972,997;0;3236,362;0;3973,01;0
51;3972,601;0;3061,626;0;3973,01;0
52;3972,601;0;3243,448;0;3973,01;0
53;3972,997;0;3128,005;0;3973,01;0
54;3972,997;0;3196,924;0;3973,01;0
55;3972,997;0;2692,45;0;3973,01;0
56;3972,691;0;2934,144;0;3973,01;0
57;3972,997;0;2467,629;0;3973,01;0
58;3972,997;0;2580,774;0;3973,01;0
59;3972,997;0;2939,799;0;3973,01;0
60;3972,601;0;3218,597;0;3973,01;0
61;3972,997;0;2877,894;0;3973,01;0
62;3972,997;0;2928,2;0;3973,01;0
63;3972,997;0;3048,52;0;3973,01;0
64;3972,601;0;3064,837;0;3973,01;0
65;3972,991;0;3216,849;0;3973,01;0
66;3972,997;0;2934,463;0;3973,01;0
67;3972,601;0;3063,846;0;3973,01;0
68;3972,601;0;3017,697;0;3973,01;0
69;3972,997;0;3360,689;0;3973,01;0
70;3972,997;0;2903,596;0;3973,01;0
71;3972,638;0;2802,347;0;3973,01;0
72;3985,29;0;2778,878;0;3985,29;0
73;3987,874;0;3007,784;0;3987,874;0
74;3987,81;0;3129,489;0;3987,874;0
75;3987,874;0;3237,684;0;3987,874;0
76;3970,073;0;2907,229;0;3987,874;0
77;3987,875;0;3223,686;0;3987,875;0
78;3987,874;0;2779,964;0;3987,875;0
79;3987,874;0;3052,148;0;3987,875;0
80;3985,284;0;2705,255;0;3987,875;0
81;3987,875;0;2698,287;0;3987,875;0
82;3987,874;0;3071,02;0;3987,875;0
83;3987,874;0;3162,162;0;3987,875;0
84;3985,284;0;2993,912;0;3987,875;0
85;3987,875;0;2776,218;0;3987,875;0
86;3987,874;0;3062,44;0;3987,875;0
87;3985,284;0;2930,267;0;3987,875;0
88;3985,284;0;2688,925;0;3987,875;0
89;3987,875;0;3015,982;0;3987,875;0
90;3987,874;0;2689,867;0;3987,875;0
91;3985,286;0;2945,879;0;3987,875;0
92;3985,284;0;3061,878;0;3987,875;0
93;3987,875;0;2946,896;0;3987,875;0
94;3987,874;0;3121,153;0;3987,875;0
95;3987,874;0;2986,507;0;3987,875;0
96;3985,284;0;2596,101;0;3987,875;0
97;3987,875;0;3179,954;0;3987,875;0
98;3987,874;0;2660,142;0;3987,875;0
99;3987,874;0;2994,075;0;3987,875;0
100;3985,284;0;3330,188;0;3987,875;0
101;3987,888;0;2865,242;0;3987,888;0
102;3987,875;0;2513,244;0;3987,888;0
103;3987,874;0;2651,878;0;3987,888;0
104;3985,284;0;2799,625;0;3987,888;0
105;3987,874;0;2529,306;0;3987,888;0
106;3987,874;0;2597,462;0;3987,888;0
107;3985,284;0;2983,699;0;3987,888;0
108;3985,284;0;2742,97;0;3987,888;0
109;3987,874;0;2438,224;0;3987,888;0
110;3987,874;0;2468,139;0;3987,888;0
111;3985,284;0;2509,931;0;3987,888;0
112;3985,284;0;2950,67;0;3987,888;0
113;3987,875;0;3067,703;0;3987,888;0
114;3987,874;0;3070,047;0;3987,888;0
115;3987,875;0;3140,979;0;3987,888;0
116;3985,284;0;3019,257;0;3987,888;0
117;3987,875;0;2786,05;0;3987,888;0
118;3987,875;0;2807,898;0;3987,888;0
119;3987,874;0;2816,925;0;3987,888;0
120;3985,284;0;2872,12;0;3987,888;0
121;3987,875;0;3254,914;0;3987,888;0
122;3987,888;0;2940,694;0;3987,888;0
123;3987,874;0;2869,621;0;3987,888;0
124;3985,284;0;3062,914;0;3987,888;0
125;3987,874;0;3278,978;0;3987,888;0
126;3987,875;0;3056,845;0;3987,888;0
127;3985,29;0;2653,55;0;3987,888;0
128;3985,29;0;3354,902;0;3987,888;0
129;3987,875;0;2965,425;0;3987,888;0
130;3987,875;0;3141,347;0;3987,888;0
131;3985,284;0;3007,275;0;3987,888;0
132;3985,284;0;3005,852;0;3987,888;0
133;3987,875;0;3039,583;0;3987,888;0
134;3987,875;0;2615,964;0;3987,888;0
135;3987,875;0;3073,855;0;3987,888;0
136;3985,284;0;2922,727;0;3987,888;0
137;3987,875;0;3007,305;0;3987,888;0
138;3987,875;0;3024,163;0;3987,888;0
139;3987,874;0;2776,994;0;3987,888;0
140;3985,284;0;2882,758;0;3987,888;0
141;3987,875;0;3160,076;0;3987,888;0
142;3987,875;0;3190,562;0;3987,888;0
143;3987,874;0;3001,094;0;3987,888;0
144;3985,284;0;2617,833;0;3987,888;0
145;3987,874;0;2848,042;0;3987,888;0
146;3987,874;0;3365,057;0;3987,888;0
147;3985,284;0;2975,531;0;3987,888;0
148;3985,284;0;2965,624;0;3987,888;0
149;3987,875;0;2986,215;0;3987,888;0
150;3987,874;0;3053,183;0;3987,888;0
151;3985,284;0;2778,287;0;3987,888;0
152;3985,284;0;3165,88;0;3987,888;0
153;3987,875;0;3153,534;0;3987,888;0
154;3987,874;0;3091,575;0;3987,888;0
155;3987,874;0;2886,043;0;3987,888;0
156;3985,284;0;2896,48;0;3987,888;0
157;3987,875;0;2974,647;0;3987,888;0
158;3987,875;0;2836,059;0;3987,888;0
159;3987,874;0;2881,264;0;3987,888;0
160;3985,284;0;2983,927;0;3987,888;0
161;3987,875;0;2673,344;0;3987,888;0
162;3987,875;0;2742,085;0;3987,888;0
163;3987,875;0;2808,09;0;3987,888;0
164;3985,284;0;3100,93;0;3987,888;0
165;3987,874;0;3267,772;0;3987,888;0
166;3987,874;0;3077,626;0;3987,888;0
167;3985,284;0;3177,452;0;3987,888;0
168;3985,284;0;3410,035;0;3987,888;0
169;3987,875;0;3177,251;0;3987,888;0
170;3987,874;0;3217,725;0;3987,888;0
171;3985,284;0;2883,191;0;3987,888;0
172;3985,284;0;3129,976;0;3987,888;0
173;3987,875;0;3250,082;0;3987,888;0
174;3987,874;0;2866,394;0;3987,888;0
175;3987,874;0;2692,753;0;3987,888;0
176;3985,284;0;2842,226;0;3987,888;0
177;3987,875;0;2705,771;0;3987,888;0
178;3987,874;0;2446,255;0;3987,888;0
179;3987,874;0;2757,508;0;3987,888;0
180;3985,284;0;3019,714;0;3987,888;0
181;3987,875;0;3102,162;0;3987,888;0
182;3987,875;0;3280,621;0;3987,888;0
183;3987,875;0;2706,138;0;3987,888;0
184;3985,284;0;3164,294;0;3987,888;0
185;3987,876;0;2850,382;0;3987,888;0
186;3987,874;0;3078,782;0;3987,888;0
187;3985,284;0;2965,373;0;3987,888;0
188;3985,284;0;2570,822;0;3987,888;0
189;3987,874;0;2913,443;0;3987,888;0
190;3987,875;0;2535,729;0;3987,888;0
191;3985,284;0;3148,854;0;3987,888;0
192;3985,284;0;3115,242;0;3987,888;0
193;3987,875;0;2729,058;0;3987,888;0
194;3987,874;0;3076,98;0;3987,888;0
195;3987,875;0;3039,62;0;3987,888;0
196;3985,284;0;3248,016;0;3987,888;0
197;3987,875;0;2840,411;0;3987,888;0
198;3987,875;0;3007,07;0;3987,888;0
199;3987,874;0;3080,626;0;3987,888;0
200;3985,284;0;3141,229;0;3987,888;0
201;3987,875;0;2945,999;0;3987,888;0
202;3988,975;0;2779,984;0;3988,975;0
203;3988,82;0;2840,168;0;3988,975;0
204;3987,978;0;2725,759;0;3988,975;0
205;3988,822;0;2925,599;0;3988,975;0
206;3988,82;0;2774,36;0;3988,975;0
207;3987,978;0;2883,366;0;3988,975;0
208;3987,978;0;2686,646;0;3988,975;0
209;3988,975;0;2931,714;0;3988,975;0
210;3988,82;0;2917,633;0;3988,975;0
211;3987,978;0;2705,128;0;3988,975;0
212;3987,978;0;3124,833;0;3988,975;0
213;3988,82;0;3202,987;0;3988,975;0
214;3988,82;0;3261,833;0;3988,975;0
215;3988,82;0;3083,711;0;3988,975;0
216;3987,978;0;2886,794;0;3988,975;0
217;3988,82;0;2809,919;0;3988,975;0
218;3988,82;0;3269,391;0;3988,975;0
219;3988,82;0;2622,384;0;3988,975;0
220;3987,978;0;2663,744;0;3988,975;0
221;3988,82;0;2810,982;0;3988,975;0
222;3988,82;0;3242,915;0;3988,975;0
223;3988,82;0;3338,926;0;3988,975;0
224;3987,978;0;3146,183;0;3988,975;0
225;3988,82;0;3369,805;0;3988,975;0
226;3988,82;0;3168,799;0;3988,975;0
227;3987,978;0;3171,916;0;3988,975;0
228;3987,978;0;3119,847;0;3988,975;0
229;3988,82;0;3123,928;0;3988,975;0
230;3988,82;0;2842,938;0;3988,975;0
231;3987,978;0;2902,361;0;3988,975;0
232;3987,978;0;3057,371;0;3988,975;0
233;3988,82;0;2720,22;0;3988,975;0
234;3988,82;0;2417,233;0;3988,975;0
235;3988,82;0;2488,971;0;3988,975;0
236;3987,978;0;2657,168;0;3988,975;0
237;3988,82;0;2934,951;0;3988,975;0
238;3988,82;0;3013,844;0;3988,975;0
239;3988,82;0;2796,507;0;3988,975;0
240;3987,978;0;3124,648;0;3988,975;0
241;3988,82;0;3080,731;0;3988,975;0
242;3988,82;0;2678,911;0;3988,975;0
243;3988,82;0;2836,242;0;3988,975;0
244;3987,978;0;2774,972;0;3988,975;0
245;3988,82;0;3208,801;0;3988,975;0
246;3988,82;0;3120,866;0;3988,975;0
247;3987,978;0;3085,374;0;3988,975;0
248;3987,978;0;3111,839;0;3988,975;0
249;3988,82;0;2853,597;0;3988,975;0
250;3988,82;0;3268,356;0;3988,975;0
251;3987,978;0;2925,468;0;3988,975;0
252;3987,978;0;3016,142;0;3988,975;0
253;3988,821;0;3030,121;0;3988,975;0
254;3988,82;0;3259,866;0;3988,975;0
255;3988,82;0;2949,017;0;3988,975;0
256;3987,978;0;2898,898;0;3988,975;0
257;3988,82;0;3188,604;0;3988,975;0
258;3988,82;0;3148,144;0;3988,975;0
259;3988,82;0;2924,773;0;3988,975;0
260;3987,978;0;2956,803;0;3988,975;0
261;3988,82;0;2912,293;0;3988,975;0
262;3988,82;0;3157,97;0;3988,975;0
263;3988,82;0;2973,054;0;3988,975;0
264;3987,978;0;3142,243;0;3988,975;0
265;3988,82;0;3184,332;0;3988,975;0
266;3988,82;0;3140,941;0;3988,975;0
267;3987,978;0;2943,959;0;3988,975;0
268;3987,978;0;2982,542;0;3988,975;0
269;3988,82;0;2873,264;0;3988,975;0
270;3988,82;0;3135,509;0;3988,975;0
271;3987,978;0;2983,767;0;3988,975;0
272;3987,978;0;3237,066;0;3988,975;0
273;3988,82;0;3034,646;0;3988,975;0
274;3988,82;0;2966,51;0;3988,975;0
275;3988,82;0;2829,736;0;3988,975;0
276;3987,98;0;3047,552;0;3988,975;0
277;3988,82;0;3052,069;0;3988,975;0
278;3988,82;0;2963,361;0;3988,975;0
279;3988,82;0;3151,559;0;3988,975;0
280;3987,978;0;3068,611;0;3988,975;0
281;3988,82;0;3128,709;0;3988,975;0
282;3988,82;0;2944,417;0;3988,975;0
283;3988,82;0;2656,045;0;3988,975;0
284;3987,978;0;2979,222;0;3988,975;0
285;3988,82;0;3185,416;0;3988,975;0
286;3988,82;0;2989,282;0;3988,975;0
287;3987,978;0;3037,97;0;3988,975;0
288;3987,981;0;2821,811;0;3988,975;0
289;3988,82;0;3133,98;0;3988,975;0
290;3988,82;0;2941,79;0;3988,975;0
291;3987,978;0;3023,148;0;3988,975;0
292;3987,978;0;3059,347;0;3988,975;0
293;3988,82;0;3252,862;0;3988,975;0
294;3988,821;0;3016,878;0;3988,975;0
295;3988,82;0;2866,977;0;3988,975;0
296;3987,978;0;2779,286;0;3988,975;0
297;3988,82;0;2746,254;0;3988,975;0
298;3988,82;0;2827,925;0;3988,975;0
299;3988,82;0;3036,513;0;3988,975;0
300;3987,98;0;2944,111;0;3988,975;0
301;3988,82;0;3192,129;0;3988,975;0
302;3988,821;0;2928,78;0;3988,975;0
303;3988,82;0;3247,42;0;3988,975;0
304;3987,978;0;3182,786;0;3988,975;0
305;3988,82;0;2862,851;0;3988,975;0
306;3988,821;0;3154,698;0;3988,975;0
307;3987,978;0;3317,634;0;3988,975;0
308;3987,978;0;3308,418;0;3988,975;0
309;3988,82;0;3151,11;0;3988,975;0
310;3988,82;0;3081,757;0;3988,975;0
311;3987,978;0;3073,463;0;3988,975;0
312;3987,978;0;3097,338;0;3988,975;0
313;3988,82;0;3026,802;0;3988,975;0
314;3988,821;0;2994,417;0;3988,975;0
315;3988,82;0;3051,98;0;3988,975;0
316;3987,978;0;3094,154;0;3988,975;0
317;3988,82;0;3196,108;0;3988,975;0
318;3988,821;0;3062,864;0;3988,975;0
319;3988,82;0;2941,354;0;3988,975;0
320;3987,978;0;3202,757;0;3988,975;0
321;3988,82;0;3101,53;0;3988,975;0
322;3988,821;0;3403,234;0;3988,975;0
323;3988,82;0;3178,087;0;3988,975;0
324;3987,98;0;3149,812;0;3988,975;0
325;3988,82;0;3008,433;0;3988,975;0
326;3988,822;0;2945,727;0;3988,975;0
327;3987,978;0;2918,856;0;3988,975;0
328;3987,98;0;3362,504;0;3988,975;0
329;3988,82;0;3171,723;0;3988,975;0
330;3988,821;0;3074,58;0;3988,975;0
331;3987,978;0;3118,245;0;3988,975;0
332;3987,98;0;3017,402;0;3988,975;0
333;3988,82;0;3135,696;0;3988,975;0
334;3988,821;0;3142,359;0;3988,975;0
335;3988,82;0;3026,22;0;3988,975;0
336;3987,978;0;3132,339;0;3988,975;0
337;3988,82;0;2926,006;0;3988,975;0
338;3988,821;0;2840,431;0;3988,975;0
339;3988,82;0;2754,782;0;3988,975;0
340;3987,98;0;3092,266;0;3988,975;0
341;3988,82;0;3159,499;0;3988,975;0
342;3988,821;0;3100,323;0;3988,975;0
343;3988,82;0;3318,158;0;3988,975;0
344;3987,978;0;3013,179;0;3988,975;0
345;3988,659;0;3211,287;0;3988,975;0
346;3988,82;0;3364,154;0;3988,975;0
347;3987,978;0;3123,178;0;3988,975;0
348;3987,978;0;2835,318;0;3988,975;0
349;3988,82;0;3287,351;0;3988,975;0
350;3988,82;0;3246,811;0;3988,975;0
351;3987,978;0;3479,877;0;3988,975;0
352;3987,98;0;3228,295;0;3988,975;0
353;3988,82;0;3435,087;0;3988,975;0
354;3988,821;0;3068,131;0;3988,975;0
355;3988,82;0;2970,588;0;3988,975;0
356;3987,98;0;3422,285;0;3988,975;0
357;3988,82;0;2845,365;0;3988,975;0
358;3988,821;0;3347,406;0;3988,975;0
359;3988,82;0;3129,633;0;3988,975;0
360;3987,981;0;3325,027;0;3988,975;0
361;3988,82;0;3457,462;0;3988,975;0
362;3988,822;0;3122,476;0;3988,975;0
363;3988,82;0;3482,527;0;3988,975;0
364;3987,98;0;3555,417;0;3988,975;0
365;3988,82;0;3128,037;0;3988,975;0
366;3988,821;0;3593,686;0;3988,975;0
367;3987,978;0;3367,35;0;3988,975;0
368;3987,979;0;3445;0;3988,975;0
369;3988,82;0;3427,031;0;3988,975;0
370;3988,821;0;3696,866;0;3988,975;0
371;3987,978;0;3430,399;0;3988,975;0
372;3987,98;0;3283,198;0;3988,975;0
373;3988,82;0;3006,108;0;3988,975;0
374;3988,821;0;3257,326;0;3988,975;0
375;3988,82;0;3293,964;0;3988,975;0
376;3987,98;0;3211,301;0;3988,975;0
377;3988,82;0;3115,702;0;3988,975;0
378;3988,821;0;3381,287;0;3988,975;0
379;3988,822;0;3072,698;0;3988,975;0
380;3987,979;0;3093,136;0;3988,975;0
381;3988,82;0;3436,077;0;3988,975;0
382;3988,822;0;3536,747;0;3988,975;0
383;3988,82;0;3500,768;0;3988,975;0
384;3987,978;0;3079,572;0;3988,975;0
385;3988,82;0;2983,182;0;3988,975;0
386;3988,822;0;3188,906;0;3988,975;0
387;3987,978;0;3183,916;0;3988,975;0
388;3987,98;0;3101,682;0;3988,975;0
389;3988,82;0;3226,471;0;3988,975;0
390;3988,821;0;3597,199;0;3988,975;0
391;3987,978;0;3271,779;0;3988,975;0
392;3987,991;0;3367,85;0;3988,975;0
393;3988,82;0;3281,413;0;3988,975;0
394;3988,821;0;3092,556;0;3988,975;0
395;3988,82;0;3331,663;0;3988,975;0
396;3987,98;0;3481,744;0;3988,975;0
397;3988,82;0;3387,458;0;3988,975;0
398;3988,82;0;2984,525;0;3988,975;0
399;3988,82;0;3206,168;0;3988,975;0
400;4006,917;0;3110,459;0;4006,917;0
401;4006,823;0;2901,035;0;4006,917;0
402;4006,823;0;3308,525;0;4006,917;0
403;4006,823;0;3442,8;0;4006,917;0
404;4006,921;0;3349,49;0;4006,921;0
405;4006,823;0;3217,321;0;4006,921;0
406;4006,823;0;3383,326;0;4006,921;0
407;4006,92;0;3309,875;0;4006,921;0
408;4006,92;0;3465,411;0;4006,921;0
409;4006,823;0;3415,943;0;4006,921;0
410;4006,823;0;3139,634;0;4006,921;0
411;4006,92;0;2954,802;0;4006,921;0
412;4006,921;0;3315,14;0;4006,921;0
413;4006,823;0;3390,909;0;4006,921;0
414;4006,823;0;3074,115;0;4006,921;0
415;4006,823;0;3068,14;0;4006,921;0
416;4006,92;0;3541,359;0;4006,921;0
417;4006,823;0;3511,124;0;4006,921;0
418;4006,823;0;3599,623;0;4006,921;0
419;4006,823;0;3589,414;0;4006,921;0
420;4006,921;0;3499,784;0;4006,921;0
421;4006,823;0;3389,047;0;4006,921;0
422;4006,823;0;3371,884;0;4006,921;0
423;4006,823;0;2943,518;0;4006,921;0
424;4006,921;0;3183,257;0;4006,921;0
425;4006,823;0;3050,213;0;4006,921;0
426;4006,823;0;3301,742;0;4006,921;0
427;4006,92;0;3264,479;0;4006,921;0
428;4006,921;0;3548,56;0;4006,921;0
429;4006,823;0;3143,118;0;4006,921;0
430;4006,823;0;3451,478;0;4006,921;0
431;4006,92;0;2877,888;0;4006,921;0
432;4006,921;0;3410,305;0;4006,921;0
433;4006,823;0;3569,852;0;4006,921;0
434;4006,823;0;3197,624;0;4006,921;0
435;4006,823;0;2603,573;0;4006,921;0
436;4006,92;0;2678,657;0;4006,921;0
437;4006,823;0;3062,072;0;4006,921;0
438;4006,823;0;3441,597;0;4006,921;0
